what,kind,bundleId,bundleVersion,description,time
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597262226
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597262300
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386597281820
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597282186
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597282267
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597294029
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597294030
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597295092
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597295097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386597306955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386597347134
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1386597383886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386597431093
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1386597431125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386597882389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598428711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598432780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598440720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598443632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598463339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598466345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598487605
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386598487621
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386598493270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598503257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598505518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386598505527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598513709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598520188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598526691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598530712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598533404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598618565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598639128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598671551
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386598676659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598680468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598682993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386598683001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598684388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598688051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386598691060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598695707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598713347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386598715923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598723236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598723384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598725913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386598746887
