what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1391691199164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391691200486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391691205095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691210319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691310573
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391691310652
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAutomatically",1391691323281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691327090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691334152
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1391691334168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691334914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691336858
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1391691363796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691388416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691413165
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391691413216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691455245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691513766
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1391691513877
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391691516172
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1391691519314
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1391691519452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691535266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691641455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691643319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691644318
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391691651073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691667757
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1391691673594
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1391691673636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691675074
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1391691675087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1391691675087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691678644
error,log,,,"Exception occurred while saving project preferences: /15-11-Project/.settings/org.eclipse.jdt.core.prefs.",1391691704936
error,log,,,"",1391691704941
error,log,,,"Exception occurred while saving project preferences: /15-11-Project/.settings/org.eclipse.jdt.core.prefs.",1391691704949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391691704955
error,log,,,"Exception occurred while saving project preferences: /15-11-Project/.settings/org.eclipse.jdt.core.prefs.",1391691704964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1391691704974
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1391691705146
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1391691736763
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391691739813
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1391691740870
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1391691740975
