what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389882058290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389882084894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389882088045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389882090294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1389882097283
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1389882097721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389882098880
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389882100843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389882102446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389882107731
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389882123821
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389882182918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882187596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882625493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882627225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882731261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882732996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882735375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882738516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882754280
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389882754309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882766794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882785815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389882786681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389883712663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389883715301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389883887532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389883981205
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389884178711
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389884200106
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389884212042
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1389884226755
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1389884226947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389884388273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389884390271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389884563982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389884567873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389884569393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389885284238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389885306307
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389885316482
